Name,Z,Radius_Avg,Radius_SD,Radius_Min,Radius_Max,FitRadius_Avg,FitRadius_SD,FitRadius_Min,FitRadius_Max,AxisOffsetX,AxisOffsetY,AxisOffsetR,AxisOffsetPhi,AxisTilt,AxisCurvature,MajorSemiaxis,MinorSemiaxis,Eccentricity,EllipseRotation,SurfaceCoverage_Photoresist_Avg,SurfaceCoverage_Silicon_Avg,SurfaceCoverage_SiFx_Avg,Thickness_Silicon_Avg,Thickness_SiFx_Avg
shape_analysis,0.2045,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2055,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2065,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2075,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2085,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2095,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2105,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2115,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2125,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2135,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2145,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2155,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2165,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2175,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2185,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
